player_id,player_name,team_name,season_name,primary_position,cluster,role,PC1,PC2,PC3,PC4,PC5,PC6
35545,Adonis Uriel Frías,León,2022/2023,Centre Back,2,Positional Blocker,-0.31622961699368735,0.21797138606241065,-0.33731253123708815,-0.22614825558706847,0.17317182081440058,0.4991117688149693
27795,Juan Pablo Segovia González,Necaxa,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.19923102053699102,-0.3229878161913787,-0.09493948615129098,0.6593642301992174,-0.17838266751773554,0.23095865502363652
4629,José Ramiro Funes Mori,Cruz Azul,2022/2023,Left Centre Back,2,Positional Blocker,-0.5826511874748587,-0.1815944381460864,-0.5804822374117474,-0.025386614003531188,-0.18088891215587202,0.3260725334146573
30806,Lisandro Ezequiel López,Tijuana,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.16485210749689674,-0.022787259750728442,-0.5374164724474177,-0.41971959247135643,0.12217770869391649,-0.540912313623044
29199,Miguel Ángel Barbieri,Querétaro,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.43024269158375356,-0.24515981809995596,0.10513139562038647,-0.7186814900554982,-0.12969167075934826,-0.05690032225116073
33113,Facundo Ezequiel Almada,Mazatlán,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.27986444120912646,-0.426471755536683,0.12427982455976844,-0.47481125889211867,0.09658722018612682,-0.15842313034337385
8477,Nicolás Omar Freire,Pumas UNAM,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.01775822717026904,-0.006863517768240798,-0.5125549824016609,-0.632736441253002,-0.1723245173245541,0.35240672287309227
8818,Jorge Meré Pérez,Mazatlán,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.06058094394822347,-0.30604425927449264,-0.24409482291896015,0.2904663415021716,0.581345325604203,-0.5406842603137587
27967,Unai Bilbao Arteta,Atlético San Luis,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.21939484923168243,-0.8150735406032503,-0.3195016057378256,-0.1424280359775773,-0.16257893037311733,0.04667086099656331
6869,Alejandro Arribas Garrido,Juárez,2022/2023,Right Centre Back,1,Aggressive Stopper,0.35049601840075406,0.1535856488485621,-0.6252411881960092,0.3834440522079968,0.43569793081128755,0.11409115782549614
26272,Ventura Alvarado Aispuro,Mazatlán,2023/2024,Left Centre Back,2,Positional Blocker,-0.4319097005600059,-0.551228925635418,-0.17559536015718005,-0.11001771351719941,-0.22543820487562394,-0.3880106356691676
30747,Jhon Carlos Chancellor Cedeño,Necaxa,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.3899474159047682,-0.32553536975421193,0.14899477011669027,-0.1752445057814713,0.3819545552174671,-0.27447390416879963
30111,Felix Eduardo Torres Caicedo,Santos Laguna,2023/2024,Right Centre Back,1,Aggressive Stopper,0.6320448033455892,0.039219779742385365,-0.6763403050717414,-0.17658095524510203,-0.20725664474369715,0.05047586693005548
386286,Norman Andres Micolta Arroyo,Pachuca,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.03703897472474249,-0.07601525248942105,-0.08419307574965647,-0.24552851709615145,0.12288667948562211,-0.37639483634638804
5600,Francisco Javier Calvo Quesada,Juárez,2023/2024,Left Centre Back,0,Ball-Playing Libero,-0.009607999102314706,-0.053802472749605354,-0.5957841974236058,-0.3306464539012539,0.1504475475877694,0.0037550869761582904
5738,Anderson Santamaría Bardales,Atlas,2023/2024,Right Centre Back,2,Positional Blocker,-0.5397728419857853,-0.21302332539695357,0.376525913488217,-0.1446716791065814,0.40997105733418604,0.2948101678261271
28617,Andrés Felipe Mosquera Guardia,Toluca,2023/2024,Right Centre Back,2,Positional Blocker,-0.92979188439551,0.020299772920457405,-0.11430707274199471,0.03953592379007993,-0.08881518096596056,-0.016421827292650185
29597,Jaine Stiven Barreiro Solis,León,2023/2024,Right Centre Back,2,Positional Blocker,-0.29171548147968657,-0.08790142453354216,0.2303768264182702,-0.5592513652804619,-0.41435045118354036,0.0016041464700178908
28520,William José Tesillo Gutiérrez,León,2023/2024,Left Centre Back,2,Positional Blocker,-0.5940952624984314,0.31194330688269906,0.20812645717895112,-0.28204204737486377,-0.6112399194648258,-0.031072448867525974
48870,Moises Castillo Mosquera,Juárez,2023/2024,Right Centre Back,1,Aggressive Stopper,-0.11298673181822413,0.30009336610865,-0.011379615528093964,-0.04834710309044138,0.7167649891547254,-0.2347440726576987
27354,Kevin Alexander Balanta Lucumí,Tijuana,2023/2024,Right Centre Back,2,Positional Blocker,-0.28205461699248496,-0.3422621655678556,0.6769778880796589,0.1929835271672052,-0.12016138257432708,0.22984006887576103
27174,Willer Emilio Ditta Pérez,Cruz Azul,2023/2024,Right Centre Back,2,Positional Blocker,-0.9220434899602171,0.07147955596950052,-0.11303914092316432,0.02939949608599601,-0.20688858015131614,0.14615208348050557
37360,Andrés Federico Pereira Castelnoble,Toluca,2023/2024,Right Centre Back,2,Positional Blocker,-0.9208208040615283,0.08499673647667136,-0.0750234572366156,-0.20118222965983254,-0.1482033292391385,0.1293910830536732
28289,Gastón Alexis Silva Perdomo,Puebla,2023/2024,Left Centre Back,2,Positional Blocker,-0.7711082810121273,-0.20663430476718112,-0.11832496540303598,-0.09516960141140444,0.18797924254111478,-0.12789621492190525
43553,Emanuel Gularte Méndez,Querétaro,2023/2024,Right Centre Back,0,Ball-Playing Libero,0.6681809817960981,-0.5146723850651153,0.20232840607323252,-0.14070403392762443,-0.42167777707583337,0.008001118838226875
400550,Gonzalo Nahuel Pelúa Páez,Juárez,2023/2024,Left Centre Back,1,Aggressive Stopper,0.22945179575232613,0.1896680987371337,0.450837542722347,0.25139036313237273,0.2033941850140584,0.23329019652747368
36296,Fabricio Orosmán Formiliano Duarte,Necaxa,2023/2024,Centre Back,0,Ball-Playing Libero,0.2209601498184235,-0.6687641610891679,-0.31200224207479743,0.372768134501869,0.11922211108875211,-0.22035616272791944
35690,Sebastián Enzo Cáceres Ramos,América,2023/2024,Left Centre Back,2,Positional Blocker,-0.7278837900240054,0.2701197108278232,-0.1367705600010083,-0.1243322457887752,-0.4379876944832191,0.2053604470686951
28159,Juan Marcelo Escobar Chena,Cruz Azul,2023/2024,Centre Back,2,Positional Blocker,-0.6703908761099479,0.48640599583277444,-0.18902122083565462,-0.39701674737354004,0.039216548064874776,-0.12809939870133122
28159,Juan Marcelo Escobar Chena,Toluca,2023/2024,Right Centre Back,2,Positional Blocker,-0.69200534713685,-0.32800199020332665,-0.3852574947731055,-0.078307353264675,-0.07967969661542738,-0.32790067498906716
280913,Sebastián Olmedo Pereira,Puebla,2023/2024,Right Centre Back,2,Positional Blocker,-0.47326449134725995,-0.1703629321742685,0.32771941898016504,-0.40149347114924966,0.4814622640364552,0.34869203796355097
405970,Edson Norberto Velázquez Mata,Mazatlán,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.08738687783830659,-0.005240664329967816,0.41494777156269536,0.26620893397261514,0.4429587961153304,-0.07293468709141793
50551,Luis Gustavo Sánchez Saucedo,Mazatlán,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.037745025622306805,-0.7254000249302692,0.09222534730277605,0.21446944340521026,-0.5429652880607418,-0.17921367270684363
28535,Néstor Vicente Vidrio Serrano,Mazatlán,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.4370586113554297,-0.4959641613266285,0.09442284367128867,-0.4898025260047711,-0.14697269785854977,-0.20117034115645058
359504,Eduardo Águila Castro,Atlético San Luis,2023/2024,Left Centre Back,1,Aggressive Stopper,0.6112598529862998,0.11897056219880944,0.1944956586203961,-0.26060615430896394,-0.34775729540536715,-0.31782744462841744
26327,Julio César Domínguez Juárez,Atlético San Luis,2023/2024,Right Centre Back,2,Positional Blocker,-0.6661985222817643,-0.578450502335191,-0.053138059171688096,0.33852432645634917,0.16404776539191027,0.09874980708597769
32164,Jordan Jesús Silva Díaz,Atlético San Luis,2023/2024,Right Centre Back,2,Positional Blocker,-0.7475381156595615,0.08800111838775419,-0.39213922128768475,-0.38948578196327205,-0.1707893182530214,-0.03842291838794403
26302,Hugo Isaac Rodríguez De La O,Santos Laguna,2023/2024,Right Centre Back,0,Ball-Playing Libero,0.14109965818570472,-0.4242624474108737,0.4185482415762787,0.026172637870909017,0.32496910914518035,-0.03324543579765957
26376,Ronaldo De Jesús Prieto Ramírez,Santos Laguna,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.5329122496976388,-0.39826590044746035,0.2109406782948208,-0.08566860502130563,-0.37670912095526443,0.002968387361333601
133836,Arturo Ortíz Martínez,Pumas UNAM,2023/2024,Left Centre Back,2,Positional Blocker,-0.3197639502008768,-0.09918125342325229,-0.05300902803116584,-0.693943729451587,-0.31948193632953925,0.2719635554094969
